,index,chromosome,gene,start bp,stop bp,+1 or -1 strand,fitness
82,10,chrI,YAL013W,129270,130487,1,"[0.6690044017789917, 0.7701092349517793, 1.7159369696921372, 1.500921511060305, 0.5265051429156039, 0.2829010508794287, 0.5265051429156039, 0.5265051429156039, 1.3177135758273408, 1.3998166778875174, 1.500921511060305, 0.2829010508794287, 0.2829010508794287, 1.7907676424086143, 1.384859253954082, 0.2829010508794287, 0.2829010508794287, 0.5265051429156039, 1.2346355871073136, 0.5265051429156039, 0.2829010508794287, 0.2829010508794287, 0.6690044017789917, 0.5265051429156039, 0.2829010508794287, 0.9126084938151668, 1.0551077526785546, 0.9126084938151668, 1.5324153830188807, 1.7159369696921372, 0.2829010508794287, 1.2573174190241294, 0.6690044017789917, 1.335740420280101, 1.2346355871073136, 0.7701092349517793, 1.478239679143489, 1.7159369696921372]"
83,11,chrI,YAL014C,128252,129019,-1,"[0.8485322362077505, 0.8485322362077505, 1.628463345990257, 1.7955493000544414, 0.5265051429156039, 1.8870248619598677, 1.0551077526785546, 1.1843433085517896, 1.0921363282439258, 1.1562125858513421, 1.9962716750753093, 0.9667841976905588, 1.9348680266633007, 1.8604162135983036, 0.8485322362077505, 1.2786237250538226, 1.7218437711796641, 2.2767701772178794, 0.6690044017789917, 1.901371605608423, 1.6207389380068766, 2.1553640327394787, 1.8758668957397557, 0.9667841976905588, 1.384859253954082, 1.962506871864953, 1.6207389380068766, 1.6647270759533856, 1.67155149262414]"
86,12,chrI,YAL015C,126903,128102,-1,"[0.2829010508794287, 0.6690044017789917, 0.9667841976905588, 1.2346355871073136, 0.9667841976905588, 0.8485322362077505, 0.2829010508794287, 1.551945208018266, 1.0551077526785546, 1.0137133269879544, 0.5265051429156039, 1.0551077526785546, 0.5265051429156039, 1.8049217598996912, 1.596491640626297, 0.8485322362077505, 1.9565500103509155, 0.2829010508794287, 1.3998166778875174, 1.4141634215360728, 1.3692368413349787, 0.7701092349517793, 1.2346355871073136, 0.2829010508794287, 2.0794908352836865, 1.7760194750550562, 2.368698342425423, 2.1396640638107765, 1.8906668263183164, 0.2829010508794287, 0.2829010508794287, 2.0015967226384705, 1.500921511060305, 0.2829010508794287, 0.2829010508794287, 2.1816526509540046, 2.2694481120552257, 2.2909719646195787, 2.089920277626467, 1.6912639346271254, 1.7955493000544414, 0.5265051429156039, 1.0551077526785546, 1.5222278170899979, 0.5265051429156039, 2.062131928470408, 1.551945208018266, 1.9348680266633007, 0.2829010508794287, 0.8485322362077505, 1.3528875485901217, 1.738990899489685, 1.2786237250538226, 0.2829010508794287, 0.2829010508794287, 1.5117361001983665, 1.3998166778875174, 2.1832321880646046, 0.7701092349517793, 1.5324153830188807]"
96,13,chrI,YAL016W,124879,126786,1,"[0.2829010508794287, 0.2829010508794287]"
92,14,chrI,YAL017W,120225,124295,1,"[1.7709626048536449, 0.2829010508794287, 0.5265051429156039, 1.1256327492988034, 0.5265051429156039, 1.2786237250538226, 0.2829010508794287, 0.9126084938151668, 1.4539923817629092, 1.628463345990257, 1.0551077526785546, 0.2829010508794287, 0.9667841976905588, 0.2829010508794287, 1.9412005658352596, 1.7606252003313516, 1.0551077526785546, 1.8002667724356356, 1.478239679143489, 0.2829010508794287, 1.9565500103509155, 1.7810046141784506, 0.6690044017789917, 2.1553640327394787, 1.0921363282439258, 0.9126084938151668, 1.2786237250538226, 0.9667841976905588, 1.5423159367509052, 0.2829010508794287, 0.8485322362077505, 0.5265051429156039, 1.2346355871073136, 1.210388289726734, 0.7701092349517793, 0.2829010508794287, 0.9667841976905588, 1.0137133269879544, 1.9853732385276839, 0.9126084938151668, 0.9126084938151668, 1.29871184471473, 1.6360216247266204, 1.5793445123162764, 1.8978394510979293, 0.9126084938151668, 0.7701092349517793, 0.5265051429156039, 0.6690044017789917, 1.3528875485901217, 0.6690044017789917, 1.3692368413349787, 1.8604162135983036, 1.1256327492988034, 1.551945208018266, 1.7499744938801116, 0.9667841976905588, 1.2573174190241294, 1.6434207699236927, 2.239875767111485, 0.5265051429156039, 0.2829010508794287, 0.7701092349517793, 0.2829010508794287, 1.3528875485901217, 1.7038169267269039, 0.2829010508794287, 0.2829010508794287, 2.036770695401252]"
94,15,chrI,YAL018C,118564,119541,-1,"[0.8485322362077505, 0.2829010508794287, 0.8485322362077505, 1.7445256030964802, 1.29871184471473, 1.998944284270717, 1.6128409333711538, 1.6047613495965325, 1.5613176678635161, 0.6690044017789917, 0.8485322362077505, 1.7709626048536449, 1.6848151956142927, 1.6360216247266204, 1.7810046141784506, 1.1562125858513421, 0.8485322362077505, 1.3998166778875174, 1.596491640626297, 0.8485322362077505, 0.5265051429156039, 1.2346355871073136, 0.8485322362077505, 0.8485322362077505, 1.6360216247266204, 1.6360216247266204, 1.7333676368763677, 1.7276529351014789, 0.6690044017789917, 1.2786237250538226]"
95,16,chrI,YAL019W,114919,118314,1,"[1.4141634215360728, 2.2358283548293962, 1.335740420280101, 0.5265051429156039, 0.5265051429156039, 1.2573174190241294, 2.3426533612504783, 1.8095158961099336, 1.3998166778875174, 1.4279474005879649, 0.5265051429156039, 1.335740420280101, 1.5613176678635161, 1.5117361001983665, 0.9667841976905588, 0.8485322362077505, 1.0921363282439258, 0.2829010508794287, 1.5704466594513526, 0.2829010508794287, 1.2786237250538226, 0.2829010508794287, 1.628463345990257, 0.8485322362077505, 0.5265051429156039, 1.6128409333711538, 1.4141634215360728, 2.132454653766788, 1.1562125858513421, 1.2346355871073136, 1.7333676368763677, 0.6690044017789917, 0.6690044017789917, 0.2829010508794287, 1.1843433085517896, 0.2829010508794287, 0.2829010508794287, 1.5613176678635161, 1.1256327492988034, 0.5265051429156039, 0.7701092349517793, 1.818527836434233, 0.2829010508794287, 1.3177135758273408, 0.8485322362077505, 0.8485322362077505, 0.9126084938151668, 0.5265051429156039, 0.2829010508794287, 1.596491640626297, 1.0137133269879544, 0.2829010508794287, 0.7701092349517793, 1.1256327492988034, 0.6690044017789917, 1.7038169267269039]"
81,17,chrI,YAL020C,113614,114615,-1,"[1.990864700496095, 1.0921363282439258, 1.921850004504908, 0.2829010508794287, 0.9126084938151668, 1.8442549103821446, 2.034371734444789, 1.551945208018266, 1.500921511060305, 0.2829010508794287, 1.384859253954082, 1.335740420280101, 2.109894198613576, 1.8796257167627959, 1.1562125858513421, 0.6690044017789917, 0.2829010508794287, 0.2829010508794287, 1.78592002878708, 0.2829010508794287, 2.0270750069711645, 1.990864700496095, 0.9667841976905588, 0.8485322362077505, 1.628463345990257, 0.2829010508794287, 0.6690044017789917]"
80,18,chrI,YAL021C,110846,113359,-1,"[0.2829010508794287, 1.0551077526785546, 0.9667841976905588, 1.4412111035781174, 0.2829010508794287, 0.6690044017789917, 1.3692368413349787, 0.9126084938151668, 1.4412111035781174, 2.1800659827261835, 1.5117361001983665, 0.9126084938151668, 1.384859253954082, 1.976971728912543, 1.9117599407033035, 1.384859253954082, 0.5265051429156039, 0.7701092349517793, 1.8524284512260387, 0.9667841976905588, 0.6690044017789917, 0.5265051429156039, 1.0137133269879544, 0.8485322362077505, 1.7709626048536449, 0.2829010508794287, 1.5880226425010073, 1.0921363282439258, 1.5222278170899979, 2.0068422889064395, 0.9126084938151668, 0.6690044017789917, 1.335740420280101, 1.0551077526785546]"
79,19,chrI,YAL022C,108877,110430,-1,"[0.2829010508794287, 1.2573174190241294, 0.6690044017789917, 0.8485322362077505, 1.2786237250538226, 1.4279474005879649, 1.7333676368763677, 2.009436001162348, 0.9126084938151668, 1.2786237250538226, 1.3177135758273408, 0.2829010508794287, 0.9667841976905588, 1.0921363282439258, 1.5324153830188807, 1.4897635448401925, 1.3177135758273408, 1.210388289726734, 1.5880226425010073, 1.2573174190241294, 1.0137133269879544, 1.551945208018266, 1.6647270759533856, 2.3068464366452557, 0.2829010508794287, 1.6047613495965325, 1.0137133269879544, 1.2786237250538226, 1.4539923817629092, 2.394676906437641, 0.5265051429156039, 1.0137133269879544, 1.8316267345371826, 1.8316267345371826, 1.1562125858513421, 1.990864700496095, 1.928419287650468, 0.6690044017789917, 1.1562125858513421, 0.5265051429156039, 2.0857855662241502, 1.0551077526785546, 2.242548376306892, 2.0145666968898204, 1.210388289726734, 1.9251499950935305, 2.128793720501817, 2.194094531318579, 0.7701092349517793, 1.8758668957397557, 1.8049217598996912, 1.0921363282439258]"
78,20,chrI,YAL023C,106272,108551,-1,"[1.466325100326476, 1.466325100326476, 0.9126084938151668, 1.5423159367509052, 2.1378755285740394, 0.2829010508794287, 1.29871184471473, 1.2573174190241294, 2.203145153764488, 0.2829010508794287, 1.4412111035781174, 1.4141634215360728, 0.2829010508794287, 1.1562125858513421, 1.4412111035781174, 0.2829010508794287, 1.6912639346271254, 2.130628953996043, 1.2786237250538226, 1.2346355871073136, 1.384859253954082, 0.9126084938151668, 1.6128409333711538, 1.8442549103821446, 1.7760194750550562, 0.2829010508794287, 1.5222278170899979, 0.5265051429156039, 1.7810046141784506, 0.6690044017789917, 1.4279474005879649, 0.2829010508794287, 1.2346355871073136, 1.210388289726734, 0.2829010508794287, 0.2829010508794287, 0.6690044017789917, 0.6690044017789917, 1.4539923817629092, 1.0137133269879544, 0.2829010508794287, 0.6690044017789917, 1.1843433085517896, 1.0137133269879544, 1.6912639346271254, 1.7099291923626512, 1.7760194750550562, 1.3528875485901217, 1.0137133269879544, 1.5880226425010073, 0.2829010508794287, 1.6047613495965325, 1.551945208018266, 1.2346355871073136]"
76,21,chrI,YAL024C,101565,105872,-1,"[0.6690044017789917, 0.7701092349517793, 0.9667841976905588, 1.384859253954082, 1.7333676368763677, 0.8485322362077505, 1.596491640626297, 1.0551077526785546, 1.466325100326476, 0.2829010508794287, 0.9126084938151668, 1.2346355871073136, 0.5265051429156039, 0.2829010508794287, 0.2829010508794287, 2.3446502212561935, 1.29871184471473]"
75,22,chrI,YAL025C,100225,101145,-1,[1.3177135758273408]
74,23,chrI,YAL026C,95630,99697,-1,"[1.0551077526785546, 0.9126084938151668, 1.6782459124687328, 0.5265051429156039, 0.6690044017789917, 0.9667841976905588, 0.7701092349517793, 1.1562125858513421, 1.4141634215360728, 0.6690044017789917, 0.8485322362077505, 1.2573174190241294, 0.2829010508794287, 0.2829010508794287, 0.6690044017789917, 0.5265051429156039, 1.1256327492988034, 0.5265051429156039, 1.335740420280101, 1.2573174190241294, 0.5265051429156039, 0.8485322362077505, 0.5265051429156039, 0.2829010508794287, 1.5880226425010073, 0.5265051429156039, 0.9126084938151668, 0.9126084938151668, 0.8485322362077505]"
73,24,chrI,YAL027W,94687,95472,1,"[0.8485322362077505, 1.2346355871073136, 2.245200814674646, 1.8140507514875275, 1.5704466594513526, 0.6690044017789917, 0.7701092349517793, 0.2829010508794287, 1.1562125858513421, 1.8978394510979293, 1.4539923817629092, 1.384859253954082, 1.7218437711796641, 0.5265051429156039, 0.7701092349517793, 1.29871184471473, 0.2829010508794287, 1.0137133269879544, 0.6690044017789917, 1.6782459124687328, 1.0921363282439258, 0.2829010508794287, 1.1843433085517896, 1.4412111035781174, 1.9535332843988262, 1.4897635448401925, 0.2829010508794287]"
71,25,chrI,YAL028W,92900,94486,1,"[2.115671530062608, 1.210388289726734, 0.5265051429156039, 1.8229486043524514, 1.4412111035781174, 0.9126084938151668, 1.2346355871073136, 0.2829010508794287, 0.9667841976905588, 1.628463345990257, 1.7907676424086143, 1.0921363282439258, 1.7553401922345417, 1.950490439282404, 1.3692368413349787, 1.8400957326624723, 2.194094531318579, 1.3177135758273408, 1.5117361001983665, 1.7038169267269039, 1.5324153830188807, 0.2829010508794287, 1.0137133269879544, 1.384859253954082, 1.8358867432475112, 1.0921363282439258, 2.083699824698648, 1.29871184471473, 1.5704466594513526, 1.8682264553629198, 0.8485322362077505, 2.5791777177412336, 2.19256317196533, 1.4279474005879649, 1.7658319091261732, 1.5880226425010073, 1.962506871864953, 0.6690044017789917, 1.0551077526785546, 1.8400957326624723, 1.9083311679895607, 1.210388289726734]"
70,26,chrI,YAL029C,87855,92270,-1,"[0.5265051429156039, 1.988129695132655, 1.0921363282439258, 1.1256327492988034, 1.921850004504908, 1.1256327492988034, 0.8485322362077505, 1.6360216247266204, 0.6690044017789917, 0.9126084938151668, 0.2829010508794287, 2.394676906437641, 2.41399662696103, 1.6782459124687328, 0.9126084938151668, 1.6434207699236927, 0.5265051429156039, 0.5265051429156039, 1.4539923817629092, 1.4539923817629092, 1.0137133269879544, 1.5423159367509052, 1.0921363282439258, 1.500921511060305, 0.9667841976905588, 1.3692368413349787, 1.6848151956142927, 1.2346355871073136, 0.5265051429156039, 1.29871184471473, 1.7606252003313516, 1.6782459124687328, 1.335740420280101, 1.8229486043524514, 0.6690044017789917, 1.2786237250538226, 0.5265051429156039, 1.3692368413349787, 1.4539923817629092, 1.8604162135983036, 0.2829010508794287, 1.5117361001983665, 1.6128409333711538, 1.0551077526785546, 1.7760194750550562, 1.8483654416327076, 0.6690044017789917, 0.2829010508794287, 0.2829010508794287, 1.1562125858513421, 1.29871184471473, 1.384859253954082, 1.500921511060305, 1.4279474005879649, 1.2346355871073136, 1.210388289726734, 1.6207389380068766, 1.6207389380068766, 1.1562125858513421, 0.8485322362077505, 1.0551077526785546, 0.2829010508794287, 1.335740420280101, 1.4279474005879649, 1.1843433085517896, 1.0921363282439258, 0.9667841976905588, 1.6128409333711538, 1.9048686137200155, 1.947421018763079, 1.210388289726734, 1.4897635448401925, 0.5265051429156039, 1.0137133269879544, 1.29871184471473, 1.657767513572248, 1.210388289726734, 0.2829010508794287, 0.2829010508794287, 2.1671079650780136, 1.2346355871073136, 1.2573174190241294, 2.2767701772178794, 1.1562125858513421, 1.335740420280101, 0.2829010508794287, 1.4897635448401925, 1.7333676368763677, 1.2346355871073136, 1.8400957326624723, 1.5324153830188807, 1.9117599407033035, 1.5324153830188807, 1.210388289726734, 0.5265051429156039, 1.9380485589178293, 0.2829010508794287, 1.6128409333711538, 1.6434207699236927, 0.8485322362077505, 1.5117361001983665, 0.5265051429156039, 0.8485322362077505]"
69,27,chrI,YAL030W,87286,87752,1,"[0.9126084938151668, 0.8485322362077505, 2.377875010390667, 0.8485322362077505, 1.6912639346271254, 1.384859253954082, 1.2786237250538226, 0.5265051429156039, 1.5704466594513526, 1.8358867432475112, 1.1843433085517896, 1.8358867432475112, 0.8485322362077505, 1.7333676368763677, 1.7445256030964802, 2.2779758264809646]"
68,28,chrI,YAL031C,84749,87031,-1,"[0.7701092349517793, 1.6128409333711538, 1.5222278170899979, 1.67155149262414, 1.6047613495965325, 0.6690044017789917, 0.9126084938151668, 1.0551077526785546, 1.4279474005879649, 1.7810046141784506, 1.478239679143489, 1.7760194750550562, 0.2829010508794287, 1.0551077526785546, 0.8485322362077505, 2.08785900241832, 0.2829010508794287, 2.0068422889064395, 0.5265051429156039, 1.1256327492988034, 0.2829010508794287, 2.1848046578714353, 0.2829010508794287, 0.9667841976905588, 0.6690044017789917, 0.2829010508794287, 0.6690044017789917, 1.2573174190241294, 0.5265051429156039, 0.5265051429156039, 0.6690044017789917, 0.2829010508794287, 1.2346355871073136, 0.7701092349517793, 1.0551077526785546, 1.3998166778875174, 0.7701092349517793, 0.7701092349517793, 1.5324153830188807, 0.9126084938151668, 0.9126084938151668, 0.9667841976905588, 0.6690044017789917, 1.0551077526785546, 1.0137133269879544, 0.9667841976905588, 1.335740420280101]"
67,29,chrI,YAL032C,83335,84474,-1,"[0.7701092349517793, 1.0921363282439258, 0.2829010508794287, 2.5074587743727603, 0.7701092349517793, 0.7701092349517793, 2.083699824698648, 0.5265051429156039, 0.5265051429156039, 0.5265051429156039, 1.4279474005879649, 1.3528875485901217, 1.6207389380068766, 1.2346355871073136, 1.3692368413349787, 1.657767513572248, 1.6128409333711538, 0.7701092349517793, 1.3998166778875174, 2.2581707889259954, 1.738990899489685, 2.268212798250801, 0.2829010508794287, 1.551945208018266, 1.921850004504908, 1.67155149262414, 1.0921363282439258, 1.3177135758273408, 2.0196235670912315, 1.0551077526785546, 0.5265051429156039, 0.2829010508794287, 0.7701092349517793, 0.2829010508794287, 1.2573174190241294, 1.3177135758273408, 1.5613176678635161, 0.6690044017789917, 0.5265051429156039, 0.8485322362077505, 0.2829010508794287, 0.5265051429156039, 1.3692368413349787, 1.4141634215360728, 1.1256327492988034]"
66,30,chrI,YAL033W,82706,83227,1,"[0.6690044017789917, 0.5265051429156039, 0.5265051429156039]"
65,31,chrI,YAL034W-A,79718,80587,1,"[0.2829010508794287, 0.2829010508794287, 0.9667841976905588, 1.2346355871073136, 2.0171042271592743, 1.6207389380068766, 1.657767513572248]"
88,32,chrI,YAL035W,76427,79435,1,"[1.0551077526785546, 1.1256327492988034, 1.0551077526785546, 1.2786237250538226, 0.7701092349517793]"
97,33,chrI,YAL036C,75043,76152,-1,"[1.8906668263183164, 1.5222278170899979, 0.5265051429156039, 1.5793445123162764, 0.2829010508794287, 1.1256327492988034, 1.7499744938801116, 2.0270750069711645, 1.9741259934005702, 1.7499744938801116, 1.551945208018266, 1.6434207699236927, 1.6975964737990845, 0.2829010508794287, 1.1843433085517896, 1.7606252003313516, 1.7445256030964802, 1.6506673445016888, 1.4897635448401925, 1.657767513572248, 1.551945208018266, 2.126948853191838, 1.210388289726734, 0.7701092349517793, 1.4141634215360728, 1.2346355871073136, 1.5423159367509052, 1.6207389380068766, 0.5265051429156039, 2.242548376306892, 0.8485322362077505, 1.9151555846603154, 1.1843433085517896, 0.7701092349517793, 0.5265051429156039]"
113,34,chrI,YAL037W,74020,74823,1,"[0.2829010508794287, 1.7760194750550562, 0.8485322362077505, 0.9126084938151668, 1.6506673445016888, 1.1562125858513421, 0.2829010508794287, 0.2829010508794287, 2.0709185465138558, 0.2829010508794287, 0.2829010508794287, 1.5613176678635161, 1.1843433085517896, 1.5613176678635161, 1.0551077526785546, 1.4412111035781174, 1.657767513572248, 2.083699824698648, 1.6782459124687328, 0.9667841976905588, 0.9126084938151668, 1.738990899489685, 0.5265051429156039, 0.9667841976905588, 0.2829010508794287, 1.335740420280101, 1.0921363282439258, 0.5265051429156039, 1.8906668263183164, 1.1256327492988034, 1.7499744938801116, 1.4412111035781174]"
125,35,chrI,YAL038W,71786,73288,1,[]
119,36,chrI,YAL039C,68716,69525,-1,"[1.210388289726734, 1.8229486043524514, 2.2438770977970544, 1.7099291923626512, 1.2346355871073136, 1.0551077526785546, 1.3177135758273408, 1.0551077526785546, 1.8002667724356356, 1.5793445123162764, 1.8643430300430517, 1.976971728912543, 0.6690044017789917, 1.8870248619598677, 1.7709626048536449, 0.5265051429156039, 1.6128409333711538, 2.105989198265891, 1.2786237250538226, 1.0921363282439258, 2.0919695336688826, 0.2829010508794287, 1.8358867432475112, 2.336593790181967, 2.4648877609895807, 1.7955493000544414, 2.4732725662161323, 1.5222278170899979, 0.8485322362077505, 2.0531199881461086, 0.6690044017789917, 0.5265051429156039, 2.046206065193062, 1.466325100326476, 2.449715055937303, 0.6690044017789917, 2.2851241355989274, 1.7907676424086143, 1.921850004504908, 1.3177135758273408, 1.2346355871073136, 1.7606252003313516, 1.5793445123162764, 1.8604162135983036, 1.5423159367509052, 1.818527836434233, 1.8483654416327076, 2.220575820948718, 1.551945208018266, 0.2829010508794287, 0.7701092349517793, 1.3177135758273408, 1.466325100326476, 2.009436001162348, 1.7276529351014789, 1.478239679143489, 2.0270750069711645, 1.3692368413349787, 1.1256327492988034, 1.8906668263183164, 1.1256327492988034, 1.7038169267269039, 1.968364447718178, 1.5613176678635161, 2.0919695336688826, 0.6690044017789917, 2.123229808798971, 1.384859253954082, 2.062131928470408, 1.5880226425010073]"
